TXT_CATEGORY_LEVEL_1,TXT_CATEGORY_LEVEL_2,TXT_CATEGORY_LEVEL_3,Pricing methodology 1,Pricing methodology 2,Pricing methodology 3,Contract methodology 1,Contract methodology 2,Contract methodology 3,Auctionable,Supplier market complexity
Directs,Chemicals including Bio Chemicals and Gas Materials,Chemicals including Bio Chemicals and Gas Materials,Index based pricing,Value based pricing ,Volume based pricing ,Framework agreement approach,Long term contract,Hedging,Yes,High
Directs,Chemicals including Bio Chemicals and Gas Materials,Compounds and mixtures,Index based pricing,Value based pricing ,Volume based pricing ,Framework agreement approach,Long term contract,Hedging,Yes,High
Directs,Chemicals including Bio Chemicals and Gas Materials,Noble gases,Index based pricing,Value based pricing ,Volume based pricing ,Framework agreement approach,Long term contract,Hedging,Yes,High
Directs,Directs,Directs,,,,,,,,
Directs,Electronic Components and Supplies,Automation control connectivity devices,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,Yes,High
Directs,Electronic Components and Supplies,Automation control devices and components and accessories,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,Yes,High
Directs,Electronic Components and Supplies,Circuit assemblies and radio frequency RF components,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,Yes,High
Directs,Electronic Components and Supplies,Electronic Components and Supplies,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,Yes,High
Directs,Electronic Components and Supplies,Integrated circuits,Market based pricing,Fixed pricing,Cost plus model,Value engineering ,Framework agreement approach,Long term contract,Yes,High
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Assembly machines,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,High
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Coating systems,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,High
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Foundry machines and equipment and supplies,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Grinding and sanding and polishing equipment and supplies,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Industrial machine tools,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Industrial machinery components and accessories,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Industrial Manufacturing and Processing Machinery and Accessories,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Industrial process machinery and equipment and supplies,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Machinery for working wood and stone and ceramic and the like,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Manufacturing tables and stands,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Mechanical surface treatment machines,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal cutting machine attachments,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal cutting machinery and accessories,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal cutting machines,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal cutting tools,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal forming dies and tooling,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal forming machinery and accessories,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Metal rolling machines,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Rubber and plastic processing machinery and equipment and supplies,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Separation machinery and equipment,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Textile and fabric machinery and accessories,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Welding and soldering and brazing accessories,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Welding and soldering and brazing machinery and accessories and supplies,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
Directs,Industrial Manufacturing and Processing Machinery and Accessories,Welding and soldering and brazing supplies,Value based pricing,Fixed pricing,Market based pricing,Value engineering ,Performance based contracting,Framework agreement approach,No,Low
